item,27/09/2022,26/09/2021
 Assets =,0,0
 + AssetsCurrent =,0,0
   + CashAndCashEquivalentsAtCarryingValue,0,0
   + AvailableForSaleSecuritiesCurrent,0,0
   + AccountsReceivableNetCurrent,0,0
   + InventoryNet,0,0
   + DeferredTaxAssetsNetCurrent,0,0
   + NontradeReceivablesCurrent,0,0
   + OtherAssetsCurrent,0,0
 + AvailableForSaleSecuritiesNoncurrent,0,0
 + PropertyPlantAndEquipmentNet,0,0
 + Goodwill,0,0
 + IntangibleAssetsNetExcludingGoodwill,0,0
 + OtherAssetsNoncurrent,0,0
 LiabilitiesAndStockholdersEquity =,0,0
 + Liabilities =,0,0
   + LiabilitiesCurrent =,0,0
     + AccountsPayableCurrent,0,0
     + AccruedLiabilitiesCurrent,0,0
     + DeferredRevenueCurrent,0,0
     + CommercialPaper,0,0
   + DeferredRevenueNoncurrent,0,0
   + LongTermDebt,0,0
   + OtherLiabilitiesNoncurrent,0,0
 + CommitmentsAndContingencies,0,0
 + StockholdersEquity =,0,0
   + CommonStockValue,0,0
   + RetainedEarningsAccumulatedDeficit,0,0
   + AccumulatedOtherComprehensiveIncomeLossNetOfTax,0,0
   + CommonStocksIncludingAdditionalPaidInCapital,0,0
